zip_code,state,latitude,longitude,zipcode,relative_income,relative_income_dispersion,income_category,inequality_category,income_lambda,inequality_lambda
10021,NY,40.77,-73.95,10021,1652734.1666666667,3506676.1270247023,Very High Income,High Inequality,6,3
10022,NY,40.71,-73.99,10022,1505689.0,3212722.962874141,Very High Income,High Inequality,6,3
10023,NY,40.71,-73.99,10023,1866360.5,3748279.2056138376,Very High Income,High Inequality,6,3
10024,NY,40.71,-73.99,10024,1868965.5,3887092.272644978,Very High Income,High Inequality,6,3
10025,NY,40.71,-73.99,10025,1224323.1666666667,1990717.644949119,Very High Income,High Inequality,6,3
10026,NY,40.71,-73.99,10026,226197.0,174264.91513325338,Very High Income,High Inequality,6,3
10027,NY,40.71,-73.99,10027,329631.3333333333,264586.4852335936,Very High Income,High Inequality,6,3
10028,NY,40.71,-73.99,10028,1612878.1666666667,3343163.0189467827,Very High Income,High Inequality,6,3
10029,NY,40.71,-73.99,10029,349839.5,222396.05039186287,Very High Income,High Inequality,6,3
10030,NY,40.71,-73.99,10030,108631.0,32174.094113121508,Upper Medium Income,Moderate Inequality,4,2
10031,NY,40.71,-73.99,10031,220158.16666666663,63622.00143477621,Very High Income,High Inequality,6,3
10032,NY,40.71,-73.99,10032,205819.5,70109.98474896426,Very High Income,High Inequality,6,3
10033,NY,40.71,-73.99,10033,223111.0,70405.60393605044,Very High Income,High Inequality,6,3
10034,NY,40.71,-73.99,10034,165013.33333333334,44076.13933486764,High Income,High Inequality,5,3
2478,MA,42.39,-71.18,2478,531567.5,996064.8579894284,Very High Income,High Inequality,6,3
2445,MA,42.32,-71.14,2445,516586.8333333333,1035707.0965079684,Very High Income,High Inequality,6,3
2446,MA,42.32,-71.14,2446,428721.5,701717.0779691057,Very High Income,High Inequality,6,3
2420,MA,42.44,-71.23,2420,384460.3333333333,798785.5656005976,Very High Income,High Inequality,6,3
2421,MA,42.44,-71.23,2421,438551.6666666667,906794.0569641304,Very High Income,High Inequality,6,3
2492,MA,42.28,-71.24,2492,548792.1666666666,1158379.5067433498,Very High Income,High Inequality,6,3
2494,MA,42.28,-71.24,2494,170011.16666666666,304368.09837722266,High Income,High Inequality,5,3
2458,MA,42.33,-71.2,2458,277814.0,522054.0318966994,Very High Income,High Inequality,6,3
2459,MA,42.31,-71.19,2459,495676.1666666667,1039038.339087142,Very High Income,High Inequality,6,3
2460,MA,42.35,-71.2,2460,163858.33333333334,281714.3684987805,High Income,High Inequality,5,3
2461,MA,42.31,-71.2,2461,132800.5,243987.2083743326,Upper Medium Income,High Inequality,4,3
2462,MA,42.33,-71.25,2462,20329.166666666668,33709.63034159032,Upper Medium Income,Moderate Inequality,4,2
2464,MA,42.31,-71.22,2464,37946.16666666666,50774.0725505318,Upper Medium Income,High Inequality,4,3
2465,MA,42.35,-71.22,2465,366454.3333333333,762253.7655900866,Very High Income,High Inequality,6,3
2466,MA,42.34,-71.24,2466,111354.66666666669,189704.55110056445,Upper Medium Income,High Inequality,4,3
2467,MA,42.31,-71.16,2467,558235.5,1198760.5969348091,Very High Income,High Inequality,6,3
2468,MA,42.32,-71.23,2468,195775.8333333333,437155.37339825375,High Income,High Inequality,5,3
2451,MA,42.38,-71.24,2451,160832.33333333334,146124.03734727105,High Income,High Inequality,5,3
2452,MA,42.38,-71.24,2452,107029.0,99485.58441502968,Upper Medium Income,High Inequality,4,3
2453,MA,42.38,-71.24,2453,205786.5,141896.0345446623,Very High Income,High Inequality,6,3
2472,MA,42.36,-71.17,2472,322112.1666666667,284198.9037997273,Very High Income,High Inequality,6,3
2481,MA,42.31,-71.27,2481,735933.3333333334,1695763.4649454702,Very High Income,High Inequality,6,3
2482,MA,42.3,-71.28,2482,354927.6666666667,771054.2368390609,Very High Income,High Inequality,6,3
2493,MA,42.36,-71.26,2493,821196.6666666666,1925181.1118917272,Very High Income,High Inequality,6,3
2184,MA,42.2,-71.0,2184,320457.3333333333,280393.3077337379,Very High Income,High Inequality,6,3
2186,MA,42.24,-71.08,2186,397378.1666666667,642930.2098223155,Very High Income,High Inequality,6,3
2169,MA,42.26,-71.0,2169,397858.5,223856.0050700003,Very High Income,High Inequality,6,3
2170,MA,42.26,-71.0,2170,118124.33333333331,54725.01472513888,Upper Medium Income,High Inequality,4,3
2171,MA,42.26,-71.0,2171,157719.66666666666,117094.11703354985,High Income,High Inequality,5,3
2188,MA,42.2,-70.94,2188,102091.0,69362.13546020625,Upper Medium Income,High Inequality,4,3
2189,MA,42.2,-70.94,2189,97223.0,61112.86194574756,Upper Medium Income,High Inequality,4,3
2190,MA,42.2,-70.94,2190,151281.33333333334,113226.60917764282,High Income,High Inequality,5,3
2191,MA,42.2,-70.94,2191,65076.16666666666,44389.80705259561,Upper Medium Income,High Inequality,4,3
1718,MA,42.51,-71.41,1718,6060.333333333333,6189.283534195753,Lower Medium Income,Low Inequality,3,1
1719,MA,42.5,-71.5,1719,68142.83333333333,102032.00632040256,Upper Medium Income,High Inequality,4,3
1720,MA,42.48,-71.46,1720,325734.6666666667,536327.651121091,Very High Income,High Inequality,6,3
2474,MA,42.41,-71.16,2474,329533.8333333333,431201.4064589384,Very High Income,High Inequality,6,3
2476,MA,42.41,-71.16,2476,244978.8333333333,374735.5650148071,Very High Income,High Inequality,6,3
2150,MA,42.39,-71.03,2150,145643.83333333334,55904.2451962878,High Income,High Inequality,5,3
2149,MA,42.4,-71.05,2149,195168.16666666663,83582.44548567999,High Income,High Inequality,5,3
2152,MA,42.37,-70.98,2152,138456.16666666666,95688.5540311205,Upper Medium Income,High Inequality,4,3
2151,MA,42.41,-70.99,2151,283919.6666666667,108028.03102281678,Very High Income,High Inequality,6,3
2148,MA,42.43,-71.05,2148,347396.1666666667,152963.13993824352,Very High Income,High Inequality,6,3
2176,MA,42.45,-71.05,2176,301596.1666666667,352261.3996096743,Very High Income,High Inequality,6,3
2155,MA,42.42,-71.1,2155,472576.0,358197.5497565554,Very High Income,High Inequality,6,3
2143,MA,42.39,-71.1,2143,237716.16666666663,193696.21442807463,Very High Income,High Inequality,6,3
2144,MA,42.39,-71.1,2144,245447.66666666663,226000.96406844523,Very High Income,High Inequality,6,3
2145,MA,42.39,-71.1,2145,194508.5,114582.20320407528,High Income,High Inequality,5,3
2180,MA,42.47,-71.09,2180,211843.66666666663,188400.18044011173,Very High Income,High Inequality,6,3
1913,MA,42.85,-70.92,1913,129646.5,97533.46011651593,Upper Medium Income,High Inequality,4,3
1810,MA,42.65,-71.14,1810,571663.0,988914.40547016,Very High Income,High Inequality,6,3
1430,MA,42.63,-71.9,1430,44007.333333333336,34020.11273153966,Upper Medium Income,Moderate Inequality,4,2
1431,MA,42.68,-71.81,1431,21985.666666666668,16358.128923158256,Upper Medium Income,Moderate Inequality,4,2
1721,MA,42.25,-71.46,1721,185199.8333333333,209729.139082214,High Income,High Inequality,5,3
1501,MA,42.2,-71.83,1501,118038.0,82985.37234717936,Upper Medium Income,High Inequality,4,3
2322,MA,42.11,-71.03,2322,33170.833333333336,21025.1447787326,Upper Medium Income,Moderate Inequality,4,2
1432,MA,42.56,-71.58,1432,59136.16666666666,41451.23952509342,Upper Medium Income,High Inequality,4,3
1434,MA,42.53,-71.61,1434,4449.666666666667,4318.410710743788,Lower Medium Income,Low Inequality,3,1
1436,MA,42.6,-72.07,1436,14816.166666666666,13124.84348732078,Upper Medium Income,Moderate Inequality,4,2
2630,MA,41.7,-70.3,2630,25462.5,32155.354196463144,Upper Medium Income,Moderate Inequality,4,2
1730,MA,42.48,-71.26,1730,205861.3333333333,328077.621707831,Very High Income,High Inequality,6,3
1731,MA,42.46,-71.28,1731,9728.166666666666,7611.174900543717,Lower Medium Income,Moderate Inequality,3,2
2019,MA,42.09,-71.47,2019,121639.83333333331,87985.13581376497,Upper Medium Income,High Inequality,4,3
1503,MA,42.38,-71.63,1503,36104.833333333336,40318.88794308031,Upper Medium Income,High Inequality,4,3
1915,MA,42.55,-70.84,1915,382611.1666666667,396940.341209314,Very High Income,High Inequality,6,3
1821,MA,42.55,-71.26,1821,242652.3333333333,197037.35916791687,Very High Income,High Inequality,6,3
1504,MA,42.01,-71.5,1504,60736.833333333336,41109.27090288353,Upper Medium Income,High Inequality,4,3
1740,MA,42.43,-71.6,1740,85163.16666666667,144258.4160795018,Upper Medium Income,High Inequality,4,3
2108,MA,42.35,-71.06,2108,384883.1666666667,885000.1429544329,Very High Income,High Inequality,6,3
2109,MA,42.35,-71.06,2109,141355.16666666666,271451.25855624,High Income,High Inequality,5,3
2110,MA,42.35,-71.06,2110,276664.6666666667,628491.2528265343,Very High Income,High Inequality,6,3
2111,MA,42.35,-71.06,2111,144859.5,273652.6369248065,High Income,High Inequality,5,3
2113,MA,42.35,-71.06,2113,63804.5,42499.7859606375,Upper Medium Income,High Inequality,4,3
2114,MA,42.35,-71.06,2114,245668.3333333333,357915.2309626774,Very High Income,High Inequality,6,3
2115,MA,42.35,-71.06,2115,196795.66666666663,328782.386799942,High Income,High Inequality,5,3
2116,MA,42.35,-71.06,2116,961831.6666666666,2096463.4152467973,Very High Income,High Inequality,6,3
2118,MA,42.35,-71.06,2118,497626.6666666667,890003.8497055317,Very High Income,High Inequality,6,3
2119,MA,42.35,-71.06,2119,108034.16666666669,44304.6629483474,Upper Medium Income,High Inequality,4,3
2120,MA,42.35,-71.06,2120,39112.66666666666,13841.82607413728,Upper Medium Income,Moderate Inequality,4,2
2121,MA,42.35,-71.06,2121,89191.83333333333,53417.782422772536,Upper Medium Income,High Inequality,4,3
2122,MA,42.35,-71.06,2122,128436.33333333331,51673.865331196845,Upper Medium Income,High Inequality,4,3
2124,MA,42.35,-71.06,2124,236214.16666666663,79935.41358726223,Very High Income,High Inequality,6,3
2125,MA,42.35,-71.06,2125,176051.83333333334,60665.475655983006,High Income,High Inequality,5,3
2126,MA,42.26,-71.1,2126,97142.16666666669,43891.23771969375,Upper Medium Income,High Inequality,4,3
2127,MA,42.35,-71.06,2127,416577.6666666667,414428.00347450783,Very High Income,High Inequality,6,3
2128,MA,42.35,-71.06,2128,226410.66666666663,81762.33048456156,Very High Income,High Inequality,6,3
2129,MA,42.38,-71.06,2129,285644.0,436193.8089317637,Very High Income,High Inequality,6,3
2130,MA,42.3,-71.11,2130,357195.8333333333,350833.59515155706,Very High Income,High Inequality,6,3
2131,MA,42.28,-71.13,2131,207014.8333333333,122999.62766678062,Very High Income,High Inequality,6,3
2132,MA,42.28,-71.16,2132,262382.5,266849.4649458754,Very High Income,High Inequality,6,3
2134,MA,42.35,-71.13,2134,96325.5,32726.110259241017,Upper Medium Income,Moderate Inequality,4,2
2135,MA,42.35,-71.15,2135,264848.3333333333,114617.00736743509,Very High Income,High Inequality,6,3
2136,MA,42.26,-71.11,2136,182343.5,84786.36768195698,High Income,High Inequality,5,3
2163,MA,42.35,-71.06,2163,6099.833333333333,5273.726478180933,Lower Medium Income,Low Inequality,3,1
2199,MA,42.35,-71.06,2199,80758.5,175872.7124687056,Upper Medium Income,High Inequality,4,3
2210,MA,42.35,-71.06,2210,206341.3333333333,383434.6440152046,Very High Income,High Inequality,6,3
2215,MA,42.35,-71.06,2215,104062.33333333331,104428.38483605244,Upper Medium Income,High Inequality,4,3
1921,MA,42.67,-70.98,1921,157789.16666666666,293203.36025046965,High Income,High Inequality,5,3
1505,MA,42.35,-71.73,1505,56435.5,67823.49757937879,Upper Medium Income,High Inequality,4,3
2631,MA,41.76,-70.08,2631,90774.5,80694.39722000531,Upper Medium Income,High Inequality,4,3
2324,MA,41.98,-70.97,2324,185227.66666666663,142815.75880226475,High Income,High Inequality,5,3
2301,MA,42.08,-71.02,2301,272094.8333333333,117039.52513645407,Very High Income,High Inequality,6,3
2302,MA,42.08,-71.02,2302,159610.33333333334,84741.12744037966,High Income,High Inequality,5,3
1506,MA,42.21,-72.1,1506,19445.33333333333,10727.725158050362,Upper Medium Income,Moderate Inequality,4,2
1803,MA,42.5,-71.2,1803,266262.1666666667,292652.1343707691,Very High Income,High Inequality,6,3
2532,MA,41.75,-70.61,2532,86706.66666666667,58492.53267098858,Upper Medium Income,High Inequality,4,3
2542,MA,41.75,-70.61,2542,1045.0,1012.0377463316275,Lower Medium Income,Low Inequality,3,1
1922,MA,42.75,-70.93,1922,35112.333333333336,42294.67822157613,Upper Medium Income,High Inequality,4,3
2138,MA,42.37,-71.11,2138,593018.5,1088199.4714931173,Very High Income,High Inequality,6,3
2139,MA,42.37,-71.11,2139,344489.1666666667,382678.2398900761,Very High Income,High Inequality,6,3
2140,MA,42.37,-71.11,2140,229001.0,269084.9964587398,Very High Income,High Inequality,6,3
2141,MA,42.37,-71.11,2141,133852.66666666666,123684.60740879065,Upper Medium Income,High Inequality,4,3
2142,MA,42.37,-71.11,2142,68050.33333333333,111735.62396418909,Upper Medium Income,High Inequality,4,3
2021,MA,42.15,-71.13,2021,272730.3333333333,346240.4730043365,Very High Income,High Inequality,6,3
1741,MA,42.53,-71.35,1741,133650.16666666666,276149.06786908885,Upper Medium Income,High Inequality,4,3
2330,MA,41.88,-70.76,2330,72400.0,51153.57103858928,Upper Medium Income,High Inequality,4,3
2632,MA,41.66,-70.34,2632,89391.33333333333,66236.06857797847,Upper Medium Income,High Inequality,4,3
1507,MA,42.13,-71.96,1507,98967.83333333331,82205.27072011055,Upper Medium Income,High Inequality,4,3
2633,MA,41.67,-69.96,2633,61159.16666666666,89267.2639267423,Upper Medium Income,High Inequality,4,3
1824,MA,42.59,-71.36,1824,306914.1666666667,375816.24909969856,Very High Income,High Inequality,6,3
2535,MA,41.34,-70.74,2535,27805.666666666668,50082.13948172209,Upper Medium Income,High Inequality,4,3
1510,MA,42.41,-71.68,1510,88043.5,45891.129895656304,Upper Medium Income,High Inequality,4,3
2025,MA,42.23,-70.8,2025,214017.3333333333,439415.5683330606,Very High Income,High Inequality,6,3
1742,MA,42.45,-71.35,1742,539501.0,1128326.0296616398,Very High Income,High Inequality,6,3
2635,MA,41.62,-70.44,2635,38751.66666666666,41130.8316359719,Upper Medium Income,High Inequality,4,3
1923,MA,42.57,-70.95,1923,252649.16666666663,230733.87101283303,Very High Income,High Inequality,6,3
2026,MA,42.24,-71.17,2026,284996.1666666667,339633.8427962777,Very High Income,High Inequality,6,3
2638,MA,41.73,-70.2,2638,31045.666666666668,30105.47929308993,Upper Medium Income,Moderate Inequality,4,2
2639,MA,41.66,-70.13,2639,17960.0,6106.540067828918,Upper Medium Income,Low Inequality,4,1
2030,MA,42.24,-71.27,2030,278004.0,632924.7277128616,Very High Income,High Inequality,6,3
1826,MA,42.66,-71.3,1826,222503.8333333333,152515.82112478255,Very High Income,High Inequality,6,3
1827,MA,42.66,-71.48,1827,44567.66666666666,63546.23456245592,Upper Medium Income,High Inequality,4,3
2332,MA,42.04,-70.67,2332,261639.5,467373.2559677544,Very High Income,High Inequality,6,3
2333,MA,42.03,-70.95,2333,102248.33333333331,77768.30566411144,Upper Medium Income,High Inequality,4,3
1515,MA,42.22,-72.04,1515,14284.833333333334,9958.881130260905,Upper Medium Income,Moderate Inequality,4,2
1516,MA,42.05,-71.73,1516,67546.66666666667,56982.25658805262,Upper Medium Income,High Inequality,4,3
2536,MA,41.56,-70.55,2536,161802.33333333334,117592.59604527264,High Income,High Inequality,5,3
2642,MA,41.83,-69.96,2642,35185.5,25703.920088188883,Upper Medium Income,Moderate Inequality,4,2
2537,MA,41.73,-70.43,2537,62333.66666666666,68686.87192081661,Upper Medium Income,High Inequality,4,3
2032,MA,42.15,-71.21,2032,52780.0,64583.62390575493,Upper Medium Income,High Inequality,4,3
2538,MA,41.77,-70.64,2538,22331.33333333333,9104.805756668657,Upper Medium Income,Moderate Inequality,4,2
2539,MA,41.38,-70.53,2539,65315.16666666666,86485.62804400895,Upper Medium Income,High Inequality,4,3
1929,MA,42.63,-70.77,1929,45719.16666666666,63804.492178581495,Upper Medium Income,High Inequality,4,3
2540,MA,41.56,-70.62,2540,87208.83333333333,109343.3073734587,Upper Medium Income,High Inequality,4,3
2543,MA,41.52,-70.66,2543,14774.333333333334,22981.106489172074,Upper Medium Income,Moderate Inequality,4,2
1521,MA,42.05,-72.15,1521,16934.333333333332,11037.737787548074,Upper Medium Income,Moderate Inequality,4,2
1420,MA,42.58,-71.81,1420,173482.5,79717.64736556141,High Income,High Inequality,5,3
2644,MA,41.68,-70.5,2644,29403.33333333333,22544.67253846608,Upper Medium Income,Moderate Inequality,4,2
2035,MA,42.06,-71.24,2035,187664.3333333333,208194.8617931448,High Income,High Inequality,5,3
1701,MA,42.3,-71.43,1701,324075.0,347574.0458135504,Very High Income,High Inequality,6,3
1702,MA,42.3,-71.43,1702,183912.3333333333,91567.72287802436,High Income,High Inequality,5,3
2038,MA,42.08,-71.38,2038,330253.8333333333,384244.9471539823,Very High Income,High Inequality,6,3
1440,MA,42.58,-71.98,1440,91486.16666666669,44271.32065984328,Upper Medium Income,High Inequality,4,3
1930,MA,42.62,-70.66,1930,240931.66666666663,203883.9567054423,Very High Income,High Inequality,6,3
1519,MA,42.2,-71.68,1519,82098.0,107079.31419279822,Upper Medium Income,High Inequality,4,3
1450,MA,42.6,-71.57,1450,161508.0,256150.24259211624,High Income,High Inequality,5,3
2338,MA,41.98,-70.86,2338,54783.66666666666,40270.24674206338,Upper Medium Income,High Inequality,4,3
2339,MA,42.11,-70.81,2339,166213.33333333334,214469.7980897699,High Income,High Inequality,5,3
2341,MA,42.06,-70.85,2341,79770.33333333333,63900.0923056193,Upper Medium Income,High Inequality,4,3
1451,MA,42.5,-71.58,1451,86408.5,146771.17339143952,Upper Medium Income,High Inequality,4,3
2645,MA,41.69,-70.07,2645,79864.16666666667,56277.35153120362,Upper Medium Income,High Inequality,4,3
2646,MA,41.66,-70.06,2646,26919.166666666668,34013.04166590614,Upper Medium Income,Moderate Inequality,4,2
1830,MA,42.78,-71.08,1830,146260.0,72222.27176709412,High Income,High Inequality,5,3
1832,MA,42.78,-71.08,1832,135810.33333333334,65269.34926492424,Upper Medium Income,High Inequality,4,3
1833,MA,42.73,-70.98,1833,84006.5,95371.56813799385,Upper Medium Income,High Inequality,4,3
1834,MA,42.75,-71.03,1834,56360.0,51033.96575615107,Upper Medium Income,High Inequality,4,3
1835,MA,42.78,-71.08,1835,98699.83333333331,61705.99477333355,Upper Medium Income,High Inequality,4,3
2043,MA,42.23,-70.88,2043,583179.8333333334,1160153.6282728105,Very High Income,High Inequality,6,3
2343,MA,42.14,-71.0,2343,68785.66666666667,45001.03423996682,Upper Medium Income,High Inequality,4,3
1520,MA,42.35,-71.85,1520,142253.83333333334,139338.03565059567,High Income,High Inequality,5,3
1746,MA,42.2,-71.43,1746,166736.33333333334,224329.08086707487,High Income,High Inequality,5,3
1747,MA,42.12,-71.54,1747,48402.333333333336,42532.6200164846,Upper Medium Income,High Inequality,4,3
1748,MA,42.22,-71.52,1748,298496.3333333333,533888.9884515944,Very High Income,High Inequality,6,3
1452,MA,42.48,-72.01,1452,31423.33333333333,25259.02769836295,Upper Medium Income,Moderate Inequality,4,2
1749,MA,42.39,-71.56,1749,152964.33333333334,118621.1542190796,High Income,High Inequality,5,3
2045,MA,42.3,-70.9,2045,96242.83333333331,84991.14159350177,Upper Medium Income,High Inequality,4,3
2601,MA,41.65,-70.29,2601,72973.66666666667,21654.677477779867,Upper Medium Income,Moderate Inequality,4,2
1938,MA,42.67,-70.83,1938,159643.0,193143.45779549456,High Income,High Inequality,5,3
1522,MA,42.38,-71.87,1522,27855.5,24401.346223108267,Upper Medium Income,Moderate Inequality,4,2
1523,MA,42.45,-71.66,1523,57581.66666666666,57123.540438830176,Upper Medium Income,High Inequality,4,3
1840,MA,42.7,-71.16,1840,20101.0,15423.729756449962,Upper Medium Income,Moderate Inequality,4,2
1841,MA,42.7,-71.16,1841,162828.83333333334,134209.15813969873,High Income,High Inequality,5,3
1843,MA,42.7,-71.16,1843,109168.16666666669,56307.4659433957,Upper Medium Income,High Inequality,4,3
1844,MA,42.71,-71.18,1844,323985.6666666667,178754.95928188023,Very High Income,High Inequality,6,3
1845,MA,42.7,-71.11,1845,356779.5,491420.7220135309,Very High Income,High Inequality,6,3
1524,MA,42.25,-71.9,1524,42119.0,27721.304348821683,Upper Medium Income,Moderate Inequality,4,2
1453,MA,42.51,-71.77,1453,246573.16666666663,125348.2356835016,Very High Income,High Inequality,6,3
1773,MA,42.41,-71.3,1773,183111.66666666663,383082.9908386258,High Income,High Inequality,5,3
1460,MA,42.53,-71.47,1460,111758.5,147003.1351158879,Upper Medium Income,High Inequality,4,3
1850,MA,42.63,-71.32,1850,64853.833333333336,31997.68815034403,Upper Medium Income,Moderate Inequality,4,2
1851,MA,42.63,-71.32,1851,142733.16666666666,67497.40234828794,High Income,High Inequality,5,3
1852,MA,42.63,-71.32,1852,174959.16666666666,71218.0355680123,High Income,High Inequality,5,3
1854,MA,42.63,-71.32,1854,103824.5,43711.30206594171,Upper Medium Income,High Inequality,4,3
1462,MA,42.59,-71.72,1462,93189.0,76537.7774932092,Upper Medium Income,High Inequality,4,3
1901,MA,42.47,-70.96,1901,8805.333333333334,5638.731086571398,Lower Medium Income,Low Inequality,3,1
1902,MA,42.47,-70.96,1902,176916.66666666666,80948.94990959838,High Income,High Inequality,5,3
1904,MA,42.47,-70.96,1904,122989.33333333331,79097.63877554542,Upper Medium Income,High Inequality,4,3
1905,MA,42.47,-70.96,1905,109875.66666666669,47900.686277616805,Upper Medium Income,High Inequality,4,3
1906,MA,42.46,-71.01,1906,203267.0,137940.16491798175,High Income,High Inequality,5,3
1907,MA,42.46,-70.89,1907,195182.66666666663,270473.5654726108,High Income,High Inequality,5,3
1908,MA,42.42,-70.92,1908,43686.66666666666,55326.58734339817,Upper Medium Income,High Inequality,4,3
1940,MA,42.53,-71.04,1940,206500.66666666663,336911.3134429692,Very High Income,High Inequality,6,3
1944,MA,42.56,-70.76,1944,131392.5,261436.2503072212,Upper Medium Income,High Inequality,4,3
2048,MA,42.02,-71.21,2048,229426.16666666663,246177.26481250592,Very High Income,High Inequality,6,3
1945,MA,42.5,-70.85,1945,360361.0,629251.0218181611,Very High Income,High Inequality,6,3
1752,MA,42.34,-71.54,1752,282238.0,200837.5745880237,Very High Income,High Inequality,6,3
2050,MA,42.09,-70.7,2050,235995.66666666663,252358.55900814355,Very High Income,High Inequality,6,3
2648,MA,41.67,-70.4,2648,59542.16666666666,43810.94706767552,Upper Medium Income,High Inequality,4,3
2649,MA,41.65,-70.48,2649,146585.83333333334,134008.01570863836,High Income,High Inequality,5,3
1754,MA,42.42,-71.45,1754,87552.33333333333,73657.35649795386,Upper Medium Income,High Inequality,4,3
2052,MA,42.18,-71.3,2052,236490.5,447695.0862927803,Very High Income,High Inequality,6,3
