zipcode,relative_income,relative_income_dispersion,income_category,inequality_category
1128,15438.666666666666,13131.698773070704,Upper Medium Income,Moderate Inequality
1129,36217.333333333336,16835.33400520069,Upper Medium Income,Moderate Inequality
1151,28172.83333333333,19404.511696166606,Upper Medium Income,Moderate Inequality
1201,226709.3333333333,86854.34317906426,Very High Income,High Inequality
1220,37464.333333333336,17166.912484971395,Upper Medium Income,Moderate Inequality
1222,3590.0,3038.0802491046875,Lower Medium Income,Low Inequality
1223,14920.0,8470.9965883596,Upper Medium Income,Moderate Inequality
1225,18962.5,11092.044405789224,Upper Medium Income,Moderate Inequality
1226,41068.0,24263.023579100773,Upper Medium Income,Moderate Inequality
1230,67024.16666666667,75515.15653805312,Upper Medium Income,High Inequality
1235,19180.0,11811.263437922296,Upper Medium Income,Moderate Inequality
1236,10459.0,5756.065149040619,Upper Medium Income,Low Inequality
1237,19405.5,11480.99693841959,Upper Medium Income,Moderate Inequality
1238,37676.5,22239.11556469816,Upper Medium Income,Moderate Inequality
1240,50342.833333333336,61347.83889728037,Upper Medium Income,High Inequality
1245,8353.166666666666,10282.393250924935,Lower Medium Income,Moderate Inequality
1247,55818.66666666666,25945.585201854024,Upper Medium Income,Moderate Inequality
1253,6285.666666666667,4492.688000147202,Lower Medium Income,Low Inequality
1254,13612.666666666666,18165.472024328647,Upper Medium Income,Moderate Inequality
1255,5522.666666666667,5003.132445445221,Lower Medium Income,Low Inequality
1256,3805.1666666666665,3779.830335698504,Lower Medium Income,Low Inequality
1257,21970.666666666668,22977.29332768912,Upper Medium Income,Moderate Inequality
1258,6562.833333333333,6211.73648561066,Lower Medium Income,Low Inequality
1259,4420.333333333333,4516.665790897824,Lower Medium Income,Low Inequality
1266,18678.5,27212.931321340595,Upper Medium Income,Moderate Inequality
1267,60688.0,73639.1870704722,Upper Medium Income,High Inequality
1270,4997.166666666667,6155.210326761115,Lower Medium Income,Low Inequality
1301,82945.5,29783.1386777821,Upper Medium Income,Moderate Inequality
1330,9224.666666666666,5017.391221209152,Lower Medium Income,Low Inequality
1331,61380.0,28392.77140400352,Upper Medium Income,Moderate Inequality
1337,15840.666666666666,10275.989094324044,Upper Medium Income,Moderate Inequality
1338,1427.5,1673.3569553445552,Lower Medium Income,Low Inequality
1339,7337.0,3117.3100583676305,Lower Medium Income,Low Inequality
1340,8830.166666666666,8139.428565118479,Lower Medium Income,Moderate Inequality
1341,14427.833333333334,12888.328633560934,Upper Medium Income,Moderate Inequality
1342,9372.5,7117.53214955858,Lower Medium Income,Moderate Inequality
1344,7681.0,5904.72553130118,Lower Medium Income,Low Inequality
1346,2024.6666666666667,1935.467040966254,Lower Medium Income,Low Inequality
1349,3712.0,2532.87741511507,Lower Medium Income,Low Inequality
1351,14732.166666666666,6707.349056569716,Upper Medium Income,Low Inequality
1354,8925.666666666666,5890.763674318184,Lower Medium Income,Low Inequality
1355,5690.833333333333,3359.7093574692835,Lower Medium Income,Low Inequality
1360,17612.666666666668,11741.799192060244,Upper Medium Income,Moderate Inequality
1364,31158.5,13797.33801499405,Upper Medium Income,Moderate Inequality
1366,9049.333333333334,6964.546350385404,Lower Medium Income,Moderate Inequality
1367,2777.833333333333,2898.5498730687154,Lower Medium Income,Low Inequality
1368,6549.166666666667,6804.851722606943,Lower Medium Income,Low Inequality
1370,22777.33333333333,12051.767068221434,Upper Medium Income,Moderate Inequality
1373,37385.833333333336,29033.59010123734,Upper Medium Income,Moderate Inequality
1375,20915.666666666668,11607.370307983916,Upper Medium Income,Moderate Inequality
1376,21657.666666666668,9225.691034641615,Upper Medium Income,Moderate Inequality
1378,3735.3333333333335,2872.5927429182625,Lower Medium Income,Low Inequality
1379,3707.1666666666665,2739.126606542068,Lower Medium Income,Low Inequality
1420,173482.5,79717.64736556141,High Income,High Inequality
1430,44007.333333333336,34020.11273153966,Upper Medium Income,Moderate Inequality
1431,21985.666666666668,16358.128923158256,Upper Medium Income,Moderate Inequality
1432,59136.16666666666,41451.23952509342,Upper Medium Income,High Inequality
1434,4449.666666666667,4318.410710743788,Lower Medium Income,Low Inequality
1436,14816.166666666666,13124.84348732078,Upper Medium Income,Moderate Inequality
1440,91486.16666666669,44271.32065984328,Upper Medium Income,High Inequality
1450,161508.0,256150.24259211624,High Income,High Inequality
1451,86408.5,146771.17339143952,Upper Medium Income,High Inequality
1452,31423.33333333333,25259.02769836295,Upper Medium Income,Moderate Inequality
1453,246573.16666666663,125348.2356835016,Very High Income,High Inequality
1460,111758.5,147003.1351158879,Upper Medium Income,High Inequality
1462,93189.0,76537.7774932092,Upper Medium Income,High Inequality
1463,90907.16666666669,76230.04584392342,Upper Medium Income,High Inequality
1464,46480.833333333336,35449.309163461374,Upper Medium Income,Moderate Inequality
1468,28153.5,21202.974024886225,Upper Medium Income,Moderate Inequality
1469,48330.333333333336,38229.16504276109,Upper Medium Income,Moderate Inequality
1473,64653.833333333336,54969.30541826654,Upper Medium Income,High Inequality
1474,15229.333333333334,11675.055968459708,Upper Medium Income,Moderate Inequality
1475,50011.5,30600.64794575436,Upper Medium Income,Moderate Inequality
1501,118038.0,82985.37234717936,Upper Medium Income,High Inequality
1503,36104.833333333336,40318.88794308031,Upper Medium Income,High Inequality
1504,60736.833333333336,41109.27090288353,Upper Medium Income,High Inequality
1505,56435.5,67823.49757937879,Upper Medium Income,High Inequality
1506,19445.33333333333,10727.725158050362,Upper Medium Income,Moderate Inequality
1507,98967.83333333331,82205.27072011055,Upper Medium Income,High Inequality
1510,88043.5,45891.129895656304,Upper Medium Income,High Inequality
1515,14284.833333333334,9958.881130260905,Upper Medium Income,Moderate Inequality
1516,67546.66666666667,56982.25658805262,Upper Medium Income,High Inequality
1518,30336.5,32962.10645423014,Upper Medium Income,Moderate Inequality
1519,82098.0,107079.31419279822,Upper Medium Income,High Inequality
1520,142253.83333333334,139338.03565059567,High Income,High Inequality
1521,16934.333333333332,11037.737787548074,Upper Medium Income,Moderate Inequality
1522,27855.5,24401.346223108267,Upper Medium Income,Moderate Inequality
1523,57581.66666666666,57123.540438830176,Upper Medium Income,High Inequality
1524,42119.0,27721.304348821683,Upper Medium Income,Moderate Inequality
1527,95460.16666666669,67382.98823120467,Upper Medium Income,High Inequality
1529,20242.0,13917.01968095181,Upper Medium Income,Moderate Inequality
1531,6144.5,4277.713349442667,Lower Medium Income,Low Inequality
1532,164858.66666666666,202347.9454905996,High Income,High Inequality
1534,49866.0,43154.59364656328,Upper Medium Income,High Inequality
1535,26948.0,14501.64172774931,Upper Medium Income,Moderate Inequality
1536,74365.83333333333,83559.06512262249,Upper Medium Income,High Inequality
1537,14225.5,6982.101882671149,Upper Medium Income,Moderate Inequality
1540,67945.66666666667,44472.207530846346,Upper Medium Income,High Inequality
1541,44489.333333333336,58012.66828432102,Upper Medium Income,High Inequality
1542,15262.833333333334,9444.315844287858,Upper Medium Income,Moderate Inequality
1543,67858.83333333333,60312.56124031433,Upper Medium Income,High Inequality
1545,419648.6666666667,542336.0532694343,Very High Income,High Inequality
1550,72351.5,34730.96917018009,Upper Medium Income,Moderate Inequality
1560,38240.833333333336,35504.23538349568,Upper Medium Income,Moderate Inequality
1562,68315.5,36266.58968113765,Upper Medium Income,Moderate Inequality
1564,74086.16666666667,72350.10186424527,Upper Medium Income,High Inequality
1566,59668.16666666666,55412.353934539424,Upper Medium Income,High Inequality
1568,86882.83333333333,109460.12844212576,Upper Medium Income,High Inequality
1569,107982.0,85757.8165836794,Upper Medium Income,High Inequality
1570,97262.5,39898.32360764046,Upper Medium Income,High Inequality
1571,66639.16666666667,43077.99965372889,Upper Medium Income,High Inequality
1581,228024.3333333333,303989.557136206,Very High Income,High Inequality
1583,56219.333333333336,42256.29809941551,Upper Medium Income,High Inequality
1585,28041.5,17634.12027576085,Upper Medium Income,Moderate Inequality
1588,74670.5,54771.169970158575,Upper Medium Income,High Inequality
1590,92075.16666666669,101405.09107814392,Upper Medium Income,High Inequality
1602,134055.5,71150.50146204172,Upper Medium Income,High Inequality
1603,80166.66666666667,40236.43724122039,Upper Medium Income,High Inequality
1604,170351.83333333334,71843.97796452162,High Income,High Inequality
1605,109775.83333333331,40996.46979639426,Upper Medium Income,High Inequality
1606,121766.33333333331,66692.3299118172,Upper Medium Income,High Inequality
1607,37110.333333333336,18394.23232066689,Upper Medium Income,Moderate Inequality
1608,20860.166666666668,11229.279147241226,Upper Medium Income,Moderate Inequality
1609,117029.0,112295.65909508702,Upper Medium Income,High Inequality
1610,58440.5,43534.887126303656,Upper Medium Income,High Inequality
1611,11949.0,6495.187757101407,Upper Medium Income,Low Inequality
1612,38685.333333333336,36294.9679248607,Upper Medium Income,Moderate Inequality
1701,324075.0,347574.0458135504,Very High Income,High Inequality
1702,183912.3333333333,91567.72287802436,High Income,High Inequality
1718,6060.333333333333,6189.283534195753,Lower Medium Income,Low Inequality
1719,68142.83333333333,102032.00632040256,Upper Medium Income,High Inequality
1720,325734.6666666667,536327.651121091,Very High Income,High Inequality
1721,185199.8333333333,209729.139082214,High Income,High Inequality
1730,205861.3333333333,328077.621707831,Very High Income,High Inequality
1731,9728.166666666666,7611.174900543717,Lower Medium Income,Moderate Inequality
1740,85163.16666666667,144258.4160795018,Upper Medium Income,High Inequality
1741,133650.16666666666,276149.06786908885,Upper Medium Income,High Inequality
1742,539501.0,1128326.0296616398,Very High Income,High Inequality
1745,5138.0,6334.347480206624,Lower Medium Income,Low Inequality
1746,166736.33333333334,224329.08086707487,High Income,High Inequality
1747,48402.333333333336,42532.6200164846,Upper Medium Income,High Inequality
1748,298496.3333333333,533888.9884515944,Very High Income,High Inequality
1749,152964.33333333334,118621.1542190796,High Income,High Inequality
1752,282238.0,200837.5745880237,Very High Income,High Inequality
1754,87552.33333333333,73657.35649795386,Upper Medium Income,High Inequality
1756,66057.83333333333,79731.53518756971,Upper Medium Income,High Inequality
1757,193623.66666666663,133221.021381262,High Income,High Inequality
1760,435215.8333333333,598582.4976036024,Very High Income,High Inequality
1770,163188.33333333334,357928.4964535049,High Income,High Inequality
1772,196449.66666666663,372688.6186320514,High Income,High Inequality
1773,183111.66666666663,383082.9908386258,High Income,High Inequality
1775,103423.83333333331,164087.538772957,Upper Medium Income,High Inequality
1776,387695.5,778036.8906435607,Very High Income,High Inequality
1778,349211.8333333333,704760.4618681206,Very High Income,High Inequality
1801,331692.5,252304.3672557017,Very High Income,High Inequality
1803,266262.1666666667,292652.1343707691,Very High Income,High Inequality
1810,571663.0,988914.40547016,Very High Income,High Inequality
1821,242652.3333333333,197037.35916791687,Very High Income,High Inequality
1824,306914.1666666667,375816.24909969856,Very High Income,High Inequality
1826,222503.8333333333,152515.82112478255,Very High Income,High Inequality
1827,44567.66666666666,63546.23456245592,Upper Medium Income,High Inequality
1830,146260.0,72222.27176709412,High Income,High Inequality
1832,135810.33333333334,65269.34926492424,Upper Medium Income,High Inequality
1833,84006.5,95371.56813799385,Upper Medium Income,High Inequality
1834,56360.0,51033.96575615107,Upper Medium Income,High Inequality
1835,98699.83333333331,61705.99477333355,Upper Medium Income,High Inequality
1840,20101.0,15423.729756449962,Upper Medium Income,Moderate Inequality
1841,162828.83333333334,134209.15813969873,High Income,High Inequality
1843,109168.16666666669,56307.4659433957,Upper Medium Income,High Inequality
1844,323985.6666666667,178754.95928188023,Very High Income,High Inequality
1845,356779.5,491420.7220135309,Very High Income,High Inequality
1850,64853.833333333336,31997.68815034403,Upper Medium Income,Moderate Inequality
1851,142733.16666666666,67497.40234828794,High Income,High Inequality
1852,174959.16666666666,71218.0355680123,High Income,High Inequality
1854,103824.5,43711.30206594171,Upper Medium Income,High Inequality
1860,53793.333333333336,44621.73022493264,Upper Medium Income,High Inequality
1862,86411.66666666667,70379.43988599701,Upper Medium Income,High Inequality
1863,74849.66666666667,61324.52743777702,Upper Medium Income,High Inequality
1864,191733.8333333333,256745.53896994327,High Income,High Inequality
1867,318256.8333333333,444324.9470148696,Very High Income,High Inequality
1876,259479.16666666663,219428.1479057932,Very High Income,High Inequality
1879,104222.5,91787.6420892268,Upper Medium Income,High Inequality
1880,260713.5,262972.42507437925,Very High Income,High Inequality
1886,313234.6666666667,462591.6214894804,Very High Income,High Inequality
1887,214559.66666666663,215271.8116202553,Very High Income,High Inequality
1890,533091.1666666666,1097282.6173392916,Very High Income,High Inequality
1901,8805.333333333334,5638.731086571398,Lower Medium Income,Low Inequality
1902,176916.66666666666,80948.94990959838,High Income,High Inequality
1904,122989.33333333331,79097.63877554542,Upper Medium Income,High Inequality
1905,109875.66666666669,47900.686277616805,Upper Medium Income,High Inequality
1906,203267.0,137940.16491798175,High Income,High Inequality
1907,195182.66666666663,270473.5654726108,High Income,High Inequality
1908,43686.66666666666,55326.58734339817,Upper Medium Income,High Inequality
1913,129646.5,97533.46011651593,Upper Medium Income,High Inequality
1915,382611.1666666667,396940.341209314,Very High Income,High Inequality
1921,157789.16666666666,293203.36025046965,High Income,High Inequality
1922,35112.333333333336,42294.67822157613,Upper Medium Income,High Inequality
1923,252649.16666666663,230733.87101283303,Very High Income,High Inequality
1929,45719.16666666666,63804.492178581495,Upper Medium Income,High Inequality
1930,240931.66666666663,203883.9567054423,Very High Income,High Inequality
1938,159643.0,193143.45779549456,High Income,High Inequality
1940,206500.66666666663,336911.3134429692,Very High Income,High Inequality
1944,131392.5,261436.2503072212,Upper Medium Income,High Inequality
1945,360361.0,629251.0218181611,Very High Income,High Inequality
1949,108914.5,152247.22598425235,Upper Medium Income,High Inequality
1950,239303.66666666663,341622.7658278451,Very High Income,High Inequality
1951,57798.833333333336,89741.41853440175,Upper Medium Income,High Inequality
1952,60509.0,37328.47089287211,Upper Medium Income,Moderate Inequality
1960,372073.8333333333,247028.35293659443,Very High Income,High Inequality
1966,71475.83333333333,74313.86993130331,Upper Medium Income,High Inequality
1969,58497.833333333336,60030.7205301308,Upper Medium Income,High Inequality
1970,283224.0,160805.59573596934,Very High Income,High Inequality
1982,116628.5,198293.9215233285,Upper Medium Income,High Inequality
1983,96296.16666666669,155517.00546553315,Upper Medium Income,High Inequality
1984,68422.66666666667,123407.176242983,Upper Medium Income,High Inequality
1985,61532.5,89456.61659318443,Upper Medium Income,High Inequality
2019,121639.83333333331,87985.13581376497,Upper Medium Income,High Inequality
2021,272730.3333333333,346240.4730043365,Very High Income,High Inequality
2025,214017.3333333333,439415.5683330606,Very High Income,High Inequality
2026,284996.1666666667,339633.8427962777,Very High Income,High Inequality
2030,278004.0,632924.7277128616,Very High Income,High Inequality
2032,52780.0,64583.62390575493,Upper Medium Income,High Inequality
2035,187664.3333333333,208194.8617931448,High Income,High Inequality
2038,330253.8333333333,384244.9471539823,Very High Income,High Inequality
2043,583179.8333333334,1160153.6282728105,Very High Income,High Inequality
2045,96242.83333333331,84991.14159350177,Upper Medium Income,High Inequality
2048,229426.16666666663,246177.26481250592,Very High Income,High Inequality
2050,235995.66666666663,252358.55900814355,Very High Income,High Inequality
2052,236490.5,447695.0862927803,Very High Income,High Inequality
2053,141251.66666666666,171563.32188048432,High Income,High Inequality
2054,83240.0,83525.00303741389,Upper Medium Income,High Inequality
2056,134201.83333333334,200190.16057380708,Upper Medium Income,High Inequality
2061,207062.8333333333,379792.83365404175,Very High Income,High Inequality
2062,259739.8333333333,218371.89917974029,Very High Income,High Inequality
2066,262639.8333333333,404966.0632395839,Very High Income,High Inequality
2067,260968.16666666663,423779.38034001447,Very High Income,High Inequality
2071,9977.166666666666,12479.324748024896,Lower Medium Income,Moderate Inequality
2072,193595.66666666663,121823.06623241212,High Income,High Inequality
2081,223461.3333333333,278435.73095827096,Very High Income,High Inequality
2090,364369.1666666667,713796.6252622429,Very High Income,High Inequality
2093,133545.0,165847.9489604861,Upper Medium Income,High Inequality
2108,384883.1666666667,885000.1429544329,Very High Income,High Inequality
2109,141355.16666666666,271451.25855624,High Income,High Inequality
2110,276664.6666666667,628491.2528265343,Very High Income,High Inequality
2111,144859.5,273652.6369248065,High Income,High Inequality
2113,63804.5,42499.7859606375,Upper Medium Income,High Inequality
2114,245668.3333333333,357915.2309626774,Very High Income,High Inequality
2115,196795.66666666663,328782.386799942,High Income,High Inequality
2116,961831.6666666666,2096463.4152467973,Very High Income,High Inequality
2118,497626.6666666667,890003.8497055317,Very High Income,High Inequality
2119,108034.16666666669,44304.6629483474,Upper Medium Income,High Inequality
2120,39112.66666666666,13841.82607413728,Upper Medium Income,Moderate Inequality
2121,89191.83333333333,53417.782422772536,Upper Medium Income,High Inequality
2122,128436.33333333331,51673.865331196845,Upper Medium Income,High Inequality
2124,236214.16666666663,79935.41358726223,Very High Income,High Inequality
2125,176051.83333333334,60665.475655983006,High Income,High Inequality
2126,97142.16666666669,43891.23771969375,Upper Medium Income,High Inequality
2127,416577.6666666667,414428.00347450783,Very High Income,High Inequality
2128,226410.66666666663,81762.33048456156,Very High Income,High Inequality
2129,285644.0,436193.8089317637,Very High Income,High Inequality
2130,357195.8333333333,350833.59515155706,Very High Income,High Inequality
2131,207014.8333333333,122999.62766678062,Very High Income,High Inequality
2132,262382.5,266849.4649458754,Very High Income,High Inequality
2134,96325.5,32726.110259241017,Upper Medium Income,Moderate Inequality
2135,264848.3333333333,114617.00736743509,Very High Income,High Inequality
2136,182343.5,84786.36768195698,High Income,High Inequality
2138,593018.5,1088199.4714931173,Very High Income,High Inequality
2139,344489.1666666667,382678.2398900761,Very High Income,High Inequality
2140,229001.0,269084.9964587398,Very High Income,High Inequality
2141,133852.66666666666,123684.60740879065,Upper Medium Income,High Inequality
2142,68050.33333333333,111735.62396418909,Upper Medium Income,High Inequality
2143,237716.16666666663,193696.21442807463,Very High Income,High Inequality
2144,245447.66666666663,226000.96406844523,Very High Income,High Inequality
2145,194508.5,114582.20320407528,High Income,High Inequality
2148,347396.1666666667,152963.13993824352,Very High Income,High Inequality
2149,195168.16666666663,83582.44548567999,High Income,High Inequality
2150,145643.83333333334,55904.2451962878,High Income,High Inequality
2151,283919.6666666667,108028.03102281678,Very High Income,High Inequality
2152,138456.16666666666,95688.5540311205,Upper Medium Income,High Inequality
2155,472576.0,358197.5497565554,Very High Income,High Inequality
2163,6099.833333333333,5273.726478180933,Lower Medium Income,Low Inequality
2169,397858.5,223856.0050700003,Very High Income,High Inequality
2170,118124.33333333331,54725.01472513888,Upper Medium Income,High Inequality
2171,157719.66666666666,117094.11703354985,High Income,High Inequality
2176,301596.1666666667,352261.3996096743,Very High Income,High Inequality
2180,211843.66666666663,188400.18044011173,Very High Income,High Inequality
2184,320457.3333333333,280393.3077337379,Very High Income,High Inequality
2186,397378.1666666667,642930.2098223155,Very High Income,High Inequality
2188,102091.0,69362.13546020625,Upper Medium Income,High Inequality
2189,97223.0,61112.86194574756,Upper Medium Income,High Inequality
2190,151281.33333333334,113226.60917764282,High Income,High Inequality
2191,65076.16666666666,44389.80705259561,Upper Medium Income,High Inequality
2199,80758.5,175872.7124687056,Upper Medium Income,High Inequality
2210,206341.3333333333,383434.6440152046,Very High Income,High Inequality
2215,104062.33333333331,104428.38483605244,Upper Medium Income,High Inequality
2301,272094.8333333333,117039.52513645407,Very High Income,High Inequality
2302,159610.33333333334,84741.12744037966,High Income,High Inequality
2322,33170.833333333336,21025.1447787326,Upper Medium Income,Moderate Inequality
2324,185227.66666666663,142815.75880226475,High Income,High Inequality
2330,72400.0,51153.57103858928,Upper Medium Income,High Inequality
2332,261639.5,467373.2559677544,Very High Income,High Inequality
2333,102248.33333333331,77768.30566411144,Upper Medium Income,High Inequality
2338,54783.66666666666,40270.24674206338,Upper Medium Income,High Inequality
2339,166213.33333333334,214469.7980897699,High Income,High Inequality
2341,79770.33333333333,63900.0923056193,Upper Medium Income,High Inequality
2343,68785.66666666667,45001.03423996682,Upper Medium Income,High Inequality
2346,155554.33333333334,99320.50661704592,High Income,High Inequality
2347,100292.83333333331,90558.13405634342,Upper Medium Income,High Inequality
2351,120054.83333333331,86000.20097747834,Upper Medium Income,High Inequality
2356,154332.0,217748.43213580205,High Income,High Inequality
2359,150823.83333333334,138177.8650079913,High Income,High Inequality
2360,506110.6666666667,434597.6260573298,Very High Income,High Inequality
2364,115469.16666666669,107085.30663245384,Upper Medium Income,High Inequality
2367,24118.83333333333,20534.020136511663,Upper Medium Income,Moderate Inequality
2368,193821.5,97404.68990710868,High Income,High Inequality
2370,109350.0,69634.36741437377,Upper Medium Income,High Inequality
2375,93739.83333333331,81199.60744835327,Upper Medium Income,High Inequality
2379,56293.16666666666,44584.98766812285,Upper Medium Income,High Inequality
2382,97093.16666666669,69633.5750551892,Upper Medium Income,High Inequality
2420,384460.3333333333,798785.5656005976,Very High Income,High Inequality
2421,438551.6666666667,906794.0569641304,Very High Income,High Inequality
2445,516586.8333333333,1035707.0965079684,Very High Income,High Inequality
2446,428721.5,701717.0779691057,Very High Income,High Inequality
2451,160832.33333333334,146124.03734727105,High Income,High Inequality
2452,107029.0,99485.58441502968,Upper Medium Income,High Inequality
2453,205786.5,141896.0345446623,Very High Income,High Inequality
2458,277814.0,522054.0318966994,Very High Income,High Inequality
2459,495676.1666666667,1039038.339087142,Very High Income,High Inequality
2460,163858.33333333334,281714.3684987805,High Income,High Inequality
2461,132800.5,243987.2083743326,Upper Medium Income,High Inequality
2462,20329.166666666668,33709.63034159032,Upper Medium Income,Moderate Inequality
2464,37946.16666666666,50774.0725505318,Upper Medium Income,High Inequality
2465,366454.3333333333,762253.7655900866,Very High Income,High Inequality
2466,111354.66666666669,189704.55110056445,Upper Medium Income,High Inequality
2467,558235.5,1198760.5969348091,Very High Income,High Inequality
2468,195775.8333333333,437155.37339825375,High Income,High Inequality
2472,322112.1666666667,284198.9037997273,Very High Income,High Inequality
2474,329533.8333333333,431201.4064589384,Very High Income,High Inequality
2476,244978.8333333333,374735.5650148071,Very High Income,High Inequality
2478,531567.5,996064.8579894284,Very High Income,High Inequality
2481,735933.3333333334,1695763.4649454702,Very High Income,High Inequality
2482,354927.6666666667,771054.2368390609,Very High Income,High Inequality
2492,548792.1666666666,1158379.5067433498,Very High Income,High Inequality
2493,821196.6666666666,1925181.1118917272,Very High Income,High Inequality
2494,170011.16666666666,304368.09837722266,High Income,High Inequality
2532,86706.66666666667,58492.53267098858,Upper Medium Income,High Inequality
2535,27805.666666666668,50082.13948172209,Upper Medium Income,High Inequality
2536,161802.33333333334,117592.59604527264,High Income,High Inequality
2537,62333.66666666666,68686.87192081661,Upper Medium Income,High Inequality
2538,22331.33333333333,9104.805756668657,Upper Medium Income,Moderate Inequality
2539,65315.16666666666,86485.62804400895,Upper Medium Income,High Inequality
2540,87208.83333333333,109343.3073734587,Upper Medium Income,High Inequality
2542,1045.0,1012.0377463316275,Lower Medium Income,Low Inequality
2543,14774.333333333334,22981.106489172074,Upper Medium Income,Moderate Inequality
2554,138850.33333333334,172898.8386654655,Upper Medium Income,High Inequality
2556,44479.5,55408.98887635471,Upper Medium Income,High Inequality
2559,27739.33333333333,21656.993001491843,Upper Medium Income,Moderate Inequality
2562,32203.33333333333,30409.332085178503,Upper Medium Income,Moderate Inequality
2563,90572.33333333331,81979.05331648242,Upper Medium Income,High Inequality
2568,66416.5,59065.775016501735,Upper Medium Income,High Inequality
2571,65479.66666666666,32648.92727589479,Upper Medium Income,Moderate Inequality
2576,24387.5,14764.483665201436,Upper Medium Income,Moderate Inequality
2601,72973.66666666667,21654.677477779867,Upper Medium Income,Moderate Inequality
2630,25462.5,32155.354196463144,Upper Medium Income,Moderate Inequality
2631,90774.5,80694.39722000531,Upper Medium Income,High Inequality
2632,89391.33333333333,66236.06857797847,Upper Medium Income,High Inequality
2633,61159.16666666666,89267.2639267423,Upper Medium Income,High Inequality
2635,38751.66666666666,41130.8316359719,Upper Medium Income,High Inequality
2638,31045.666666666668,30105.47929308993,Upper Medium Income,Moderate Inequality
2639,17960.0,6106.540067828918,Upper Medium Income,Low Inequality
